Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Almería,Huércal-Overa,18649,-1.943031,37.38937619,279
Almería,Íllar,374,-2.63886001,36.9849617,424
Almería,Instinción,430,-2.65979091,36.99319077,427
Almería,Laroya,169,-2.3320851,37.29604768,860
Almería,Láujar de Andarax,1533,-2.88903331,36.99456726,920
Almería,Líjar,395,-2.21999131,37.29501881,604
Almería,Lubrín,1440,-2.06592032,37.21648353,516
Almería,Lucainena de las Torres,570,-2.2011865,37.0402677,549
Almería,Lúcar,771,-2.42494356,37.40081642,900
Almería,Macael,5576,-2.30432229,37.33233031,536
Almería,María,1288,-2.16479793,37.7115544,1197
Almería,Mojácar,6330,-1.85016798,37.14008707,140
Almería,Nacimiento,475,-2.64792293,37.10502345,596
Almería,Níjar,28996,-2.20611069,36.96580749,357
Almería,Ohanes,626,-2.74552024,37.03829786,961
Almería,Olula de Castro,191,-2.47387144,37.17517469,1005
Almería,Olula del Río,6216,-2.29735506,37.3531739,485
Almería,Oria,2265,-2.29602131,37.48360163,1022
Almería,Padules,436,-2.77409853,36.99862987,747
Almería,Partaloa,975,-2.2262643,37.40605456,543
Almería,Paterna del Río,364,-2.95313089,37.02162718,1201
Almería,Pechina,4010,-2.44105175,36.91567505,105
Almería,Pulpí,9055,-1.745159,37.41211031,194
Almería,Purchena,1636,-2.36166335,37.34731041,551
Almería,Rágol,307,-2.68123514,36.9953238,405
Almería,Rioja,1367,-2.46389912,36.94267969,128
Almería,Roquetas de Mar,93363,-2.6150576,36.76467854,7
Almería,Santa Cruz de Marchena,225,-2.60298289,37.01700109,330
Almería,Santa Fe de Mondújar,429,-2.5313124,36.97425446,215
Almería,Senés,312,-2.34726177,37.20447008,1008
Almería,Serón,2080,-2.50991257,37.34295293,823
Almería,Sierro,400,-2.39864285,37.32144567,755
Almería,Somontín,471,-2.38745675,37.39094721,824
Almería,Sorbas,2463,-2.124113,37.09821538,409
Almería,Suflí,222,-2.39014365,37.33823085,630
Almería,Tabernas,3679,-2.39150625,37.04984427,402
Almería,Taberno,984,-2.07770837,37.46930863,712
Almería,Tahal,346,-2.28473564,37.22770702,1008
Almería,Terque,386,-2.5960885,36.98374179,285
Almería,Tíjola,3615,-2.43885542,37.34438543,688
Almería,Turre,3317,-1.89426392,37.15286446,51
Almería,Turrillas,229,-2.26512269,37.0299004,845
Almería,Uleila del Campo,848,-2.2035137,37.18525562,627
Almería,Urrácal,332,-2.36518023,37.39750865,744
Almería,Velefique,247,-2.40192493,37.19492499,926
Almería,Vélez-Blanco,1918,-2.09608111,37.69085853,1076
Almería,Vélez-Rubio,6661,-2.07415558,37.64799415,838
Almería,Vera,15528,-1.86877507,37.24675325,101
Almería,Viator,5686,-2.42781271,36.88906423,71
Almería,Vícar,25149,-2.64392746,36.83084658,279
Almería,Zurgena,2877,-2.03993235,37.34234106,239
Almería,Las Tres Villas,598,-2.71216116,37.13516947,689
Almería,El Ejido,88096,-2.81490838,36.77576137,81
Almería,La Mojonera,8717,-2.68308803,36.75456705,40
Almería,Balanegra,2939,-2.90884074,36.74594326,6
Ávila,Adanero,211,-4.60377542,40.94423557,910
Ávila,La Adrada,2583,-4.63746033,40.30136381,624
Ávila,Albornos,199,-4.88627099,40.83545261,911
Ávila,Aldeanueva de Santa Cruz,120,-5.41959204,40.38196006,1162
Ávila,Aldeaseca,255,-4.81751947,41.04920154,859
Ávila,La Aldehuela,172,-5.40842904,40.40948687,1068
Ávila,Amavida,139,-5.06123239,40.57148196,1163
Ávila,El Arenal,996,-5.08685361,40.26521196,888
Ávila,Arenas de San Pedro,6556,-5.0911461,40.20868842,507
Ávila,Arevalillo,78,-5.37199751,40.58706309,1130
Ávila,Arévalo,8087,-4.71892472,41.06550483,820
Ávila,Aveinte,83,-4.83760071,40.78314581,1002
Ávila,Avellaneda,29,-5.38806013,40.38865969,1353
Ávila,Ávila,58149,-4.69771277,40.65586958,1131
Ávila,El Barco de Ávila,2436,-5.52704093,40.35576349,1004
Ávila,El Barraco,1886,-4.64114216,40.47607893,1008
Ávila,Barromán,183,-4.93135736,41.06568002,800
Ávila,Becedas,219,-5.63456079,40.40515651,1097
Ávila,Becedillas,95,-5.33091124,40.53862676,1062
Ávila,Bercial de Zapardiel,206,-4.97072941,41.04621476,807
Ávila,Las Berlanas,324,-4.76116873,40.80356051,946
Ávila,Bernuy-Zapardiel,121,-4.94334789,40.97602472,865
Ávila,Berrocalejo de Aragona,39,-4.5922361,40.69953051,1092
Ávila,Blascomillán,199,-5.08872691,40.8016527,948
Ávila,Blasconuño de Matacabras,14,-4.98988245,41.12387142,786
Ávila,Blascosancho,106,-4.63734676,40.87824933,902
Ávila,El Bohodón,126,-4.72983798,40.91626371,883
Ávila,Bohoyo,261,-5.44265278,40.31665496,1139
